title,author,isbn
Ulysses,James Joyce,
In Search of Lost Time,Marcel Proust,
The Great Gatsby,F. Scott Fitzgerald,
One Hundred Years of Solitude,Gabriel García Márquez,
The Catcher in the Rye,J. D. Salinger,
Nineteen Eighty Four,George Orwell,
Moby-Dick,Herman Melville,
Don Quixote,Miguel de Cervantes,
The Sound and the Fury,William Faulkner,
Crime and Punishment,Fyodor Dostoevsky,
Anna Karenina,Leo Tolstoy,
Lolita,Vladimir Nabokov,
War and Peace,Leo Tolstoy,
The Lord of the Rings,J. R. R. Tolkien,
Pride and Prejudice,Jane Austen,
Wuthering Heights,Emily Brontë,
The Bible,Unknown,
To Kill a Mockingbird,Harper Lee,
The Trial,Franz Kafka,
The Stranger,Albert Camus,
Madame Bovary,Gustave Flaubert,
The Brothers Karamazov,Fyodor Dostoevsky,
The Odyssey,Homer,
The Magic Mountain,Thomas Mann,
Adventures of Huckleberry Finn,Mark Twain,
The Divine Comedy,Dante Alighieri,
To the Lighthouse,Virginia Woolf,
Jane Eyre,Charlotte Brontë,
The Grapes of Wrath,John Steinbeck,
Heart of Darkness,Joseph Conrad,
Middlemarch,George Eliot,
Alice's Adventures in Wonderland,Lewis Carroll,
The Master and Margarita,Mikhail Bulgakov,
The Iliad,Homer,
Invisible Man,Ralph Ellison,
Mrs. Dalloway,Virginia Woolf,
Catch-22,Joseph Heller,
Les Misérables,Victor Hugo,
Great Expectations,Charles Dickens,
The Red and the Black,Stendhal,
Fictions,Jorge Luis Borges,
On the Road,Jack Kerouac,
The Little Prince,Antoine de Saint-Exupéry,
Frankenstein,Mary Shelley,
One Thousand and One Nights,Unknown,
"Absalom, Absalom!",William Faulkner,
Journey to the End of The Night,Louis-Ferdinand Céline,
David Copperfield,Charles Dickens,
Gone With the Wind,Margaret Mitchell,
Lord of the Flies,William Golding,
Brave New World,Aldous Huxley,
The Old Man and the Sea,Ernest Hemingway,
Beloved,Toni Morrison,
The Life And Opinions Of Tristram Shandy,Laurence Sterne,
The Golden Notebook,Doris May Lessing,
Animal Farm,George Orwell,
The Leopard,Giuseppe Tomasi di Lampedusa,
The Idiot,Fyodor Dostoevsky,
The Sun Also Rises,Ernest Hemingway,
Gulliver's Travels,Jonathan Swift,
Under the Volcano,Malcolm Lowry,
Rebecca,Daphne du Maurier,
Leaves of Grass,Walt Whitman,
Dracula,Bram Stoker,
Essays,Michel de Montaigne,
The Aeneid,Virgil,
Hamlet,William Shakespeare,
Midnight's Children,Salman Rushdie,
The Scarlet Letter,Nathaniel Hawthorne,
Robinson Crusoe,Daniel Defoe,
The Plague,Albert Camus,
Candide,Voltaire,
Their Eyes Were Watching God,Zora Neale Hurston,
Things Fall Apart,Chinua Achebe,
The Count of Monte Cristo,Alexandre Dumas,
The Tin Drum,Günter Grass,
The Good Soldier,Ford Madox Ford,
A Passage to India,E. M. Forster,
Pale Fire,Vladimir Nabokov,
As I Lay Dying,William Faulkner,
A Farewell to Arms,Ernest Hemingway,
Faust,Johann Wolfgang von Goethe,
The Man Without Qualities,Robert Musil,
All Quiet on the Western Front,Erich Maria Remarque,
Buddenbrooks,Thomas Mann,
The Picture of Dorian Gray,Oscar Wilde,
Waiting for Godot,Samuel Beckett,
The Castle,Franz Kafka,
Demons,Fyodor Dostoevsky,
A Portrait of the Artist as a Young Man,James Joyce,
The Portrait of a Lady,Henry James,
For Whom the Bell Tolls,Ernest Hemingway,
The Age of Innocence,Edith Wharton,
Oedipus the King,Sophocles,
Orlando,Virginia Woolf,
The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,
The Metamorphosis,Franz Kafka,
Slaughterhouse-Five,Kurt Vonnegut,
The Unbearable Lightness of Being,Milan Kundera,
Doctor Zhivago,Boris Pasternak,
Emma,Jane Austen,
The Waste Land,T. S. Eliot,
Dead Souls,Nikolai Gogol,
The Three Musketeers,Alexandre Dumas,
The Canterbury Tales,Geoffrey Chaucer,
Walden,Henry David Thoreau,
Vanity Fair,William Makepeace Thackeray,
Native Son,Richard Wright,
Little Women,Louisa May Alcott,
Dune,Frank Herbert,
Antigone,Sophocles,
The Tale of Genji,Murasaki Shikibu,
The Charterhouse of Parma,Stendhal,
The Diary of a Young Girl,Anne Frank,
First Folio,William Shakespeare,
Treasure Island,Robert Louis Stevenson,
Lord Jim,Joseph Conrad,
The Bell Jar,Sylvia Plath,
Doctor Faustus,Thomas Mann,
The Big Sleep,Raymond Chandler,
Tom Jones,Henry Fielding,
King Lear,William Shakespeare,
The Maltese Falcon,Dashiell Hammett,
The Name of the Rose,Umberto Eco,
Charlotte's Web,E. B. White,
Tess of the d'Urbervilles,Thomas Hardy,
The Heart Is A Lonely Hunter,Carson McCullers,
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,
If This Is a Man,Primo Levi,
Paradise Lost,John Milton,
Sons and Lovers,D. H. Lawrence,
Confessions,Augustine,
Memoirs of Hadrian,Marguerite Yourcenar,
The Wind in the Willows,Kenneth Grahame,
The Second Sex,Simone de Beauvoir,
The Stories of Anton Chekhov,Anton Chekhov,
Pedro Páramo,Juan Rulfo,
In Cold Blood,Truman Capote,
Poems of Emily Dickinson,Emily Dickinson,
Macbeth,William Shakespeare,
The Hobbit,J. R. R. Tolkien,
The Good Soldier Svejk,Jaroslav Hašek,
A Clockwork Orange,Anthony Burgess,
Gargantua and Pantagruel,Francois Rabelais,
Molloy,Samuel Beckett,
The Prince,Niccolo Machiavelli,
Bleak House,Charles Dickens,
A Sentimental Education,Gustave Flaubert,
Winnie the Pooh,A. A. Milne,
The Long Goodbye,Raymond Chandler,
Decameron,Giovanni Boccaccio,
The Hound of the Baskervilles,Arthur Conan Doyle,
The Talented Mr. Ripley,Patricia Highsmith,
One Flew Over the Cuckoo's Nest,Ken Kesey,
Love in the Time of Cholera,Gabriel García Márquez,
The Handmaid's Tale,Margaret Atwood,
Steppenwolf,Hermann Hesse,
Fahrenheit 451,Ray Bradbury,
My Antonia,Willa Cather,
The Interpretation of Dreams,Sigmund Freud,
Confessions of Zeno,Italo Svevo,
All the King's Men,Robert Penn Warren,
Silent Spring,Rachel Carson,
Man's Fate,Andre Malraux,
Metamorphoses,Ovid,
Brideshead Revisited,Evelyn Waugh,
The Woman in White,Wilkie Collins,
The Flowers of Evil,Charles Baudelaire,
Uncle Tom's Cabin,Harriet Beecher Stowe,
The Color Purple,Alice Walker,
Siddhartha,Hermann Hesse,
Wide Sargasso Sea,Jean Rhys,
The Jungle,Upton Sinclair,
The Prime of Miss Jean Brodie,Muriel Spark,
"Rabbit, Run",John Updike,
A Room of One's Own,Virginia Woolf,
And Then There Were None,Agatha Christie,
A Tale of Two Cities,Charles Dickens,
Light in August,William Faulkner,
The Radetzky March,Joseph Roth,
Tender Is the Night,F. Scott Fitzgerald,
The Gulag Archipelago,Aleksandr Solzhenitsyn,
Zorba the Greek,Nikos Kazantzakis,
East of Eden,John Steinbeck,
The Book of Disquiet,Fernando Pessoa,
Of Mice and Men,John Steinbeck,
The Moviegoer,Walker Percy,
Bonjour Tristesse,Francoise Sagan,
The End of the Affair,Graham Greene,
A Good Man Is Hard to Find,Flannery O'Connor,
Berlin Alexanderplatz,Alfred Döblin,
The Tempest,William Shakespeare,
Darkness at Noon,Arthur Koestler,
Dangerous Liaison,Pierre Choderlos de Laclos,
Howards End,E. M. Forster,
U.S.A. Trilogy,John Dos Passos,
The Counterfeiters,André Gide,
Fathers and Sons,Ivan Turgenev,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,
Lady Chatterley's Lover,D. H. Lawrence,
Father Goriot,Honoré de Balzac,
A Confederacy of Dunces,John Kennedy Toole,
The Complete Sherlock Holmes,Arthur Conan Doyle,
A Season in Hell,Arthur Rimbaud,
The Call of the Wild,Jack London,
On the Origin of Species,Charles Darwin,
Hunger,Knut Hamsun,
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,
The Power and the Glory,Graham Greene,
The Turn of the Screw,Henry James,
Giovanni's Room,James Baldwin,
Kim,Rudyard Kipling,
Women in Love,D. H. Lawrence,
Life and Fate,Vasily Grossman,
The Forsyte Saga,John Galsworthy,
Thus Spake Zarathustra,Friedrich Nietzsche,
The Murder of Roger Ackroyd,Agatha Christie,
The Ambassadors,Henry James,
2666,Roberto Bolaño,
Babbitt,Sinclair Lewis,
The Epic Of Gilgamesh,Unknown,
Invisible Cities,Italo Calvino,
White Teeth,Zadie Smith,
Blood Meridian,Cormac McCarthy,
Tropic of Cancer,Henry Miller,
Brighton Rock,Graham Greene,
"Look Homeward, Angel",Thomas Wolfe,
Death of Virgil,Hermann Broch,
Pippi Longstocking,Astrid Lindgren,
Atonement,Ian McEwan,
Oblomov,Ivan Goncharov,
A Tree Grows in Brooklyn,Betty Smith,
The Alexandria Quartet,Lawrence Durrell,
The Awakening,Kate Chopin,
Fairy Tales and Stories,Hans Christian Andersen,
Nausea,Jean Paul Sartre,
An American Tragedy,Theodore Dreiser,
"Cry, the Beloved Country",Alan Paton,
The Remains of the Day,Kazuo Ishiguro,
Naked Lunch,William S. Burroughs,
Democracy in America,Alexis de Tocqueville,
The Pickwick Papers,Charles Dickens,
The Corrections,Jonathan Franzen,
The Spy Who Came in From the Cold,John le Carré,
The Princess of Cleves,Madame de La Fayette,
The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,
The Devil to Pay in the Backlands,Joao Guimaraes Rosa,
Watership Down,Richard Adams,
Collected Poems of W. B. Yeats,William Butler Yeats,
The Haunting of Hill House,Shirley Jackson,
The Godfather,Mario Puzo,
The House of Mirth,Edith Wharton,
Gravity's Rainbow,Thomas Pynchon,
Death in Venice,Thomas Mann,
A Room With a View,E. M. Forster,
Oresteia,Aeschylus,
A House for Mr. Biswas,V. S. Naipaul,
Persuasion,Jane Austen,
Malone Dies,Samuel Beckett,
Harry Potter And The Philosopher's Stone,J. K. Rowling,
The Tartar Steppe,Dino Buzzati,
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,
The Adventures of Tom Sawyer,Mark Twain,
The Republic,Plato,
The Waves,Virginia Woolf,
"Life, a User's Manual",Georges Perec,
Of Human Bondage,W. Somerset Maugham,
Finnegans Wake,James Joyce,
Independent People,Halldor Laxness,
The Posthumous Memoirs of Bras Cubas,Machado de Assis,
Wings of the Dove,Henry James,
Kristin Lavransdatter,Sigrid Undset,
The Lost Estate,Henri Alain-Fournier,
Disgrace,J. M. Coetzee,
The Chronicles of Narnia,C. S. Lewis,
Nostromo,Joseph Conrad,
A Christmas Carol,Charles Dickens,
Ivanhoe,Sir Walter Scott,
Tarzan of the Apes,Edgar Rice Burroughs,
Portnoy's Complaint,Philip Roth,
The Sorrows of Young Werther,Johann Wolfgang von Goethe,
Medea,Euripides,
Austerlitz,W. G. Sebald,
The Once and Future King,T. H. White,
Anne of Green Gables,L. M. Montgomery,
Franz Kafka,Franz Kafka,
The House of the Spirits,Isabel Allende,
Meditations,Marcus Aurelius,
Mahabharata,Vyasa,
The Time Machine,H. G. Wells,
"The General Theory of Employment, Interest and Money",John Maynard Keynes,
Labyrinths,Jorge Luis Borges,
"Winesburg, Ohio",Sherwood Anderson,
The Poems of Robert Frost,Robert Frost,
Never Let Me Go,Kazuo Ishiguro,
Bonfire of the Vanities,Tom Wolfe,
The Lover,Marguerite Duras,
Solaris,Stanislaw Lem,
History,Elsa Morante,
The Life of Samuel Johnson,James Boswell,
The Road,Cormac McCarthy,
Romeo and Juliet,William Shakespeare,
Effi Briest,Theodor Fontane,
The Human Comedy,Honoré de Balzac,
The Autobiography of Malcolm X,Alex Haley,
Herzog,Saul Bellow,
The Good Earth,Pearl S. Buck,
Where the Wild Things Are,Maurice Sendak,
Pensées,Blaise Pascal,
The Glass Bead Game,Hermann Hesse,
The Unnamable,Samuel Beckett,
Ada or Ardor,Vladimir Nabokov,
Clarissa,Samuel Richardson,
A Dance to the Music of Time,Anthony Powell,
The Adventures of Augie March,Saul Bellow,
A Hero of Our Time,Mikhail Lermontov,
Sister Carrie,Theodore Dreiser,
Notes from the Underground,Fyodor Dostoevsky,
The Savage Detectives,Roberto Bolaño,
The Complete Stories of Flannery O'Connor,Flannery O'Connor,
The Castle of Otranto,Horace Walpole,
The Betrothed,Alessandro Manzoni,
The Amazing Adventures of Kavalier and Clay,Michael Chabon,
The Thirty-Nine Steps,John Buchan,
Communist Manifesto,Karl Marx,
Leviathan,Thomas Hobbes,
The Garden of the Finzi-Continis,Giorgio Bassani,
La Regenta,Clarín,
The Bluest Eye,Toni Morrison,
Stranger in a Strange Land,Robert A. Heinlein,
Das Kapital,Karl Marx,
Nightwood,Djuna Barnes,
Quo Vadis,Henryk Sienkiewicz,
A Wrinkle In Time,Madeleine L'Engle,
The Duino Elegies,Rainer Maria Rilke,
Ferdydurke,Witold Gombrowicz,
Foundation,Isaac Asimov,
Kolyma Stories,Varlam Shalamov,
Peter And Wendy,J. M. Barrie,
Celestina Or The Tragic-Comedy Of Calisto And Melibea,Fernando de Rojas,
The Double Helix,James D. Watson,
Hopscotch,Julio Cortazar,
Nadja,André Breton,
If on a Winter's Night a Traveller,Italo Calvino,
The Sonnets,William Shakespeare,
The Complete Works of Plato,Plato,
The Moonstone,Wilkie Collins,
History of My Life,Giacomo Casanova,
Relativity,Albert Einstein,
The Confusions of Young Törless,Robert Musil,
The Death of Ivan Ilyich,Leo Tolstoy,
Dubliners,James Joyce,
The Vicar of Wakefield,Oliver Goldsmith,
Germinal,Émile Zola,
American Pastoral,Philip Roth,
Melmoth the Wanderer,Charles Robert Maturin,
Parallel Lives,Plutarch,
"The Lion, The Witch and the Wardrobe",C. S. Lewis,
Infinite Jest,David Foster Wallace,
Oedipus at Colonus,Sophocles,
Lucky Jim,Kingsley Amis,
The Stand,Stephen King,
War of the Worlds,H. G. Wells,
The Old Wives' Tale,Arnold Bennett,
Eugene Onegin,Alexander Pushkin,
At Swim Two-Birds,Flann O'Brien,
We,Yevgeny Zamyatin,
The Words,Jean Paul Sartre,
White Noise,Don DeLillo,
Parade's End,Ford Madox Ford,
The World According to Garp,John Irving,
The Year of Magical Thinking,Joan Didion,
Jacques the Fatalist and His Master,Denis Diderot,
Wise Blood,Flannery O'Connor,
The Second World War,Winston Churchill,
Ramayana,Valmiki,
The Myth of Sisyphus,Albert Camus,
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,
The Adventures of Oliver Twist,Charles Dickens,
The Federalist Papers,Alexander Hamilton,
Song of Solomon,Toni Morrison,
The Alchemist,Paulo Coelho,
Ethics,Baruch de Spinoza,
The Education of Henry Adams,Henry Adams,
Jude the Obscure,Thomas Hardy,
Journey to the West,Wu Cheng'en,
The Day of the Locust,Nathanael West,
Out of Africa,Isak Dinesen,
Murder on the Orient Express,Agatha Christie,
The Human Stain,Philip Roth,
A Doll's House,Henrik Ibsen,
Moll Flanders,Daniel Defoe,
The Bridge on the Drina,Ivo Andrić,
The Razor's Edge,W. Somerset Maugham,
The Day of the Jackal,Frederick Forsyth,
De Rerum Natura,Lucretius,
The Brief Wondrous Life of Oscar Wao,Junot Diaz,
The Hunchback of Notre-Dame,Victor Hugo,
Gypsy Ballads,Federico García Lorca,
The Nicomachean Ethics,Aristotle,
The Daughter of Time,Josephine Tey,
Memoirs From Beyond the Grave,François-Auguste-René de Chateaubriand,
The Shining,Stephen King,
The Wonderful Wizard of Oz,L. Frank Baum,
A Wizard of Earthsea,Ursula K. Le Guin,
El Aleph,Jorge Luis Borges,
Middlesex,Jeffrey Eugenides,
I'm Not Stiller,Max Frisch,
The Fountainhead,Ayn Rand,
The Man Who Was Thursday,G. K. Chesterton,
The God of Small Things,Arundhati Roy,
Bartleby the Scrivener,Herman Melville,
The Left Hand Of Darkness,Ursula K. Le Guin,
Les Enfants Terribles,Jean Cocteau,
Way of All Flesh,Samuel Butler,
The Naked and the Dead,Norman Mailer,
Alcools,Guillaume Apollinaire,
The Structure of Scientific Revolutions,Thomas Kuhn,
The Autobiography of Alice B. Toklas,Gertrude Stein,
Embers,Sandor Marai,
Sense and Sensibility,Jane Austen,
The Secret History,Donna Tartt,
The Postman Always Rings Twice,James M. Cain,
V,Thomas Pynchon,
Atlas Shrugged,Ayn Rand,
The Lusiad,Luís Vaz Camões,
Death Of A Salesman,Arthur Miller,
Jakob Von Gunten,Robert Walser,
The Island of Doctor Moreau,H. G. Wells,
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,
Go Tell it on the Mountain,James Baldwin,
Ethan Frome,Edith Wharton,
Bouvard et Pécuchet,Gustave Flaubert,
A Death in the Family,James Agee,
Critique of Pure Reason,Immanuel Kant,
Fateless or Fatelessness,Imre Kertész,
Philosophical Investigations,Ludwig Wittgenstein,
Murder Must Advertise,Dorothy L. Sayers,
The Hollow Man,John Dickson Carr,
Collected Poems,Wallace Stevens,
The Magus,John Fowles,
Everything That Rises Must Converge,Flannery O'Connor,
The Origins of Totalitarianism,Hannah Arendt,
Platero,Juan Ramón Jiménez,
Wolf Hall,Hilary Mantel,
The Baron in the Trees,Italo Calvino,
The Secret Agent,Joseph Conrad,
Manon Lescaut,Abbe Prevost,
Petrarch's Songbook,Francesco Petrarca,
Adam Bede,George Eliot,
The Mayor of Casterbridge,Thomas Hardy,
Froth on the daydream,Boris Vian,
Eugenie Grandet,Honoré de Balzac,
A Heart So White,Javier Marias,
Homage to Catalonia,George Orwell,
The Ragged Trousered Philanthropists,Robert Tressell,
North and South,Elizabeth Gaskell,
The Prophet,Kahlil Gibran,
Four Quartets,T. S. Eliot,
Fortunata and Jacinta,Benito Pérez Galdós,
The Quran,Unknown,
The Golden Bowl,Henry James,
The Golden Ass,Apuleius,
Sanctuary,William Faulkner,
Household Tales,Brothers Grimm,
"W, or the Memory of Childhood",Georges Perec,
The Odes,Horace,
Joseph and His Brothers,Thomas Mann,
Cold Comfort Farm,Stella Gibbons,
Lost Illusions,Honoré de Balzac,
The Wind-Up Bird Chronicle,Haruki Murakami,
Perfume,Patrick Suskind,
Scoop,Evelyn Waugh,
Pamela,Samuel Richardson,
Life Is a Dream,Pedro Calderón de la Barca,
Underworld,Don DeLillo,
Call It Sleep,Henry Roth,
Black Beauty,Anna Sewell,
"The Sea, The Sea",Iris Murdoch,
The Songs of Maldoror,Comte de Lautréamont,
Casino Royale,Ian Fleming,
The Last of the Mohicans,James Fenimore Cooper,
The Life of Lazarillo de Tormes,Unknown,
The Red Room,August Strindberg,
"Speak, Memory",Vladimir Nabokov,
A Handful of Dust,Evelyn Waugh,
The Immoralist,André Gide,
Housekeeping,Marilynne Robinson,
Gilead,Marilynne Robinson,
Daniel Deronda,George Eliot,
Tristes Tropiques,Claude Lévi-Strauss,
Death Comes for the Archbishop,Willa Cather,
The Monk,Matthew Lewis,
Our Mutual Friend,Charles Dickens,
The Affluent Society,John Kenneth Galbraith,
Cloud Atlas,David Mitchell,
Gormenghast,Mervyn Peake,
Red Harvest,Dashiell Hammett,
Let Us Now Praise Famous Men,James Agee,
The Lady with the Dog,Anton Chekhov,
The Seven Pillars of Wisdom,T. E. Lawrence,
The Moon and the Bonfires,Cesare Pavese,
Zazie in the Metro,Raymond Queneau,
His Dark Materials,Philip Pullman,
Pilgrim's Progress,John Bunyan,
Ragtime,E. L. Doctorow,
Jealousy,Alain Robbe-Grillet,
Aesop's Fables,Aesop,
Hiroshima,John Hersey,
The Wealth of Nations,Adam Smith,
Lives of the Artists,Giorgio Vasari,
The Civil War,Shelby Foote,
The Third Policeman,Flann O'Brien,
